@relation Gestures

@attribute Mean_GyroX numeric
@attribute Max_GyroX numeric
@attribute Min_Gyrox numeric
@attribute RMS_Gyrox numeric
@attribute Mean_AcclY numeric
@attribute Max_AcclY numeric
@attribute Min_AcclY numeric
@attribute RMS_AcclY numeric
@attribute Mean_AcclZ numeric
@attribute Max_AcclZ numeric
@attribute Min_AcclZ numeric
@attribute RMS_AcclZ numeric
@attribute Mean_AcclX numeric
@attribute Max_AcclX numeric
@attribute Min_AcclX numeric
@attribute RMS_AcclX numeric
@attribute Mean_GyroY numeric
@attribute Max_GyroY numeric
@attribute Min_GyroY numeric
@attribute RMS_GyroY numeric
@attribute Mean_GyroZ numeric
@attribute Max_GyroZ numeric
@attribute Min_GyroZ numeric
@attribute RMS_GyroZ numeric
@attribute result {straight,forward,straight_to_forward,forward_to_straight}

@data
0.002535,0.086104,-0.024406,0.034195,50.033398,54.678692,48.143147,50.058586,21.459715,26.902622,9.479606,21.994293,-58.315033,-48.164215,-61.256371,58.413231,-0.030489,0.043574,-0.069585,0.04914,-0.02051,0.015907,-0.065746,0.026068,straight
0.002535,0.086104,-0.024406,0.034195,50.033398,54.678692,48.143147,50.058586,21.459715,26.902622,9.479606,21.994293,-58.315033,-48.164215,-61.256371,58.413231,-0.030489,0.043574,-0.069585,0.04914,-0.02051,0.015907,-0.065746,0.026068,straight
0.002535,0.086104,-0.024406,0.034195,50.033398,54.678692,48.143147,50.058586,21.459715,26.902622,9.479606,21.994293,-58.315033,-48.164215,-61.256371,58.413231,-0.030489,0.043574,-0.069585,0.04914,-0.02051,0.015907,-0.065746,0.026068,straight
0.00415,0.045623,-0.038547,0.022523,49.328487,49.73106,48.748428,49.32888,25.411257,26.427588,24.960346,25.413685,-56.976608,-56.584572,-57.463768,56.976974,0.002043,0.024425,-0.014524,0.010755,0.00355,0.032393,-0.025572,0.014244,straight
0.00415,0.045623,-0.038547,0.022523,49.328487,49.73106,48.748428,49.32888,25.411257,26.427588,24.960346,25.413685,-56.976608,-56.584572,-57.463768,56.976974,0.002043,0.024425,-0.014524,0.010755,0.00355,0.032393,-0.025572,0.014244,straight
0.00415,0.045623,-0.038547,0.022523,49.328487,49.73106,48.748428,49.32888,25.411257,26.427588,24.960346,25.413685,-56.976608,-56.584572,-57.463768,56.976974,0.002043,0.024425,-0.014524,0.010755,0.00355,0.032393,-0.025572,0.014244,straight
0.00415,0.045623,-0.038547,0.022523,49.328487,49.73106,48.748428,49.32888,25.411257,26.427588,24.960346,25.413685,-56.976608,-56.584572,-57.463768,56.976974,0.002043,0.024425,-0.014524,0.010755,0.00355,0.032393,-0.025572,0.014244,straight
0.007228,0.05328,-0.021356,0.019539,48.974709,49.459068,48.744602,48.975113,25.792673,26.280096,25.354929,25.793882,-57.102192,-56.78186,-57.362251,57.102386,0.000272,0.00846,-0.007666,0.004614,-0.000627,0.010874,-0.011923,0.007072,straight
0.007228,0.05328,-0.021356,0.019539,48.974709,49.459068,48.744602,48.975113,25.792673,26.280096,25.354929,25.793882,-57.102192,-56.78186,-57.362251,57.102386,0.000272,0.00846,-0.007666,0.004614,-0.000627,0.010874,-0.011923,0.007072,straight
0.007228,0.05328,-0.021356,0.019539,48.974709,49.459068,48.744602,48.975113,25.792673,26.280096,25.354929,25.793882,-57.102192,-56.78186,-57.362251,57.102386,0.000272,0.00846,-0.007666,0.004614,-0.000627,0.010874,-0.011923,0.007072,straight
0.007228,0.05328,-0.021356,0.019539,48.974709,49.459068,48.744602,48.975113,25.792673,26.280096,25.354929,25.793882,-57.102192,-56.78186,-57.362251,57.102386,0.000272,0.00846,-0.007666,0.004614,-0.000627,0.010874,-0.011923,0.007072,straight
0.000122,0.090458,-0.140121,0.031044,48.56525,49.717655,47.717918,48.566467,25.978828,26.404602,25.54073,25.979683,-57.437637,-56.571167,-59.94812,57.439884,0.000499,0.017102,-0.039425,0.011893,0.009398,0.243038,-0.036172,0.041159,straight
0.000122,0.090458,-0.140121,0.031044,48.56525,49.717655,47.717918,48.566467,25.978828,26.404602,25.54073,25.979683,-57.437637,-56.571167,-59.94812,57.439884,0.000499,0.017102,-0.039425,0.011893,0.009398,0.243038,-0.036172,0.041159,straight
0.000122,0.090458,-0.140121,0.031044,48.56525,49.717655,47.717918,48.566467,25.978828,26.404602,25.54073,25.979683,-57.437637,-56.571167,-59.94812,57.439884,0.000499,0.017102,-0.039425,0.011893,0.009398,0.243038,-0.036172,0.041159,straight
